Year,Minimum indicator (pp)
1955.66666666667,0
1955.75,0
1955.83333333333,0
1955.91666666667,0
1956,0
1956.08333333333,0
1956.16666666667,0
1956.25,0
1956.33333333333,0.12
1956.41666666667,0.14
1956.5,0.19
1956.58333333333,0.23
1956.66666666667,0.1
1956.75,0
1956.83333333333,0.08
1956.91666666667,0.16
1957,0.25
1957.08333333333,0.15
1957.16666666667,0
1957.25,0
1957.33333333333,0.05
1957.41666666667,0.22
1957.5,0.3
1957.58333333333,0.32
1957.66666666667,0.36
1957.75,0.48
1957.83333333333,0.82
1957.91666666667,1.08
1958,1.18
1958.08333333333,1.23
1958.16666666667,1.3
1958.25,1.26
1958.33333333333,1.25
1958.41666666667,1.16
1958.5,1.09
1958.58333333333,0.93
1958.66666666667,0.83
1958.75,0.61
1958.83333333333,0.38
1958.91666666667,0.14
1959,0
1959.08333333333,0
1959.16666666667,0
1959.25,0
1959.33333333333,0
1959.41666666667,0
1959.5,0
1959.58333333333,0.01
1959.66666666667,0.08
1959.75,0.17
1959.83333333333,0.18
1959.91666666667,0.22
